 it                                       1 2135560 N         
 scapegoat                                19074 127 N         
 swig                                     19075 358 NV        
 mousetrap                                19076 67 N         
 griffins                                 19077 153 p         
 tactical                                 19078 799 A         
 barbara                                  19079 2287 N         
 nina                                     19080 661 N         
 saxophone                                19081 103 N         
 sonoma                                   19082 48 N         
 danny                                    19083 2542 N         
 spats                                    19084 43 pV        
 racetrack                                19085 230 N         
 julian                                   19086 639 NA        
 bred                                     19087 786 V         
 mucking                                  19088 91 V         
 volunteering                             19089 199 V         
 taper                                    19090 183 NV        
 mated                                    19091 115 VVA       
 scrabble                                 19092 231 NV        
 sunflower                                19093 135 N         
 conductors                               19094 154 p         
 classical                                19095 1771 NA        
 formulating                              19096 134 V         
 oats                                     19097 561 p         
 understatement                           19098 412 N         
 muddied                                  19099 71 VA        
 canes                                    19100 110 pVV       
 turrets                                  19101 175 p         
 barricades                               19102 295 pV        
 stabs                                    19103 171 pV        
 theme                                    19104 1595 NV        
 suing                                    19105 175 V         
 lawsuits                                 19106 257 p         
 pebbly                                   19107 77 A         
 paddock                                  19108 156 N         
 mating                                   19109 394 NVV       
 immature                                 19110 262 A         
 offspring                                19111 1063 N         
 foal                                     19112 98 NV        
 stallions                                19113 112 p         
 cowhide                                  19114 44 NV        
 albeit                                   19115 705 C         
 prosecute                                19116 217 V         
 distracting                              19117 435 V         
 sapphire                                 19118 448 NA        
 irene                                    19119 214 N         
 grandmothers                             19120 1005 p         
 bern                                     19121 128 N         
 funniest                                 19122 248 A         
 saltshaker                               19123 30 N         
 regency                                  19124 85 N         
 catered                                  19125 134 V         
 katherine                                19126 1331 N         
 radiant                                  19127 867 A         
 emotionless                              19128 187 A         
 gala                                     19129 198 N         
 toilets                                  19130 389 p         
 trapdoors                                19131 57 p         
 levitate                                 19132 76 V         
 hypnotize                                19133 84 V         
 caterers                                 19134 91 p         
 sitters                                  19135 226 p         
 seminar                                  19136 276 N         
 killjoy                                  19137 23 N         
 swamped                                  19138 186 V         
 untangle                                 19139 156 V         
 spice                                    19140 400 NV        
 puck                                     19141 177 N         
 donald                                   19142 939 N         
 unbelievably                             19143 409 v         
 jeopardize                               19144 258 V         
 slush                                    19145 232 NV        
 enterprise                               19146 1435 N         
 stench                                   19147 1572 N         
 youngs                                   19148 120 p         
 january                                  19149 1069 N         
 landlords                                19150 234 p         
 corrupt                                  19151 988 VA        
 defamation                               19152 34 N         
 swatch                                   19153 86 N         
 understandably                           19154 374 v         
 renovated                                19155 98 V         
 tabby                                    19156 81 NA        
 splint                                   19157 100 NV        
 sleeveless                               19158 178 A         
 stressful                                19159 482 A         
 shirtsleeve                              19160 69 N         
 coverage                                 19161 895 N         
 specialties                              19162 105 p         
 soy                                      19163 150 N         
 trauma                                   19164 1079 N         
 negligent                                19165 93 A         
 swatches                                 19166 52 p         
 statute                                  19167 243 NA        
 limitations                              19168 1026 p         
 topcoat                                  19169 102 N         
 justify                                  19170 1735 V         
 controller                               19171 259 N         
 urban                                    19172 1157 A         
 finalist                                 19173 22 N         
 celestial                                19174 778 A         
 atlanta                                  19175 748 N         
 glimpses                                 19176 448 pV        
 swap                                     19177 319 NV        
 merits                                   19178 626 pV        
 carrot                                   19179 2753 N         
 schedules                                19180 522 pV        
 spoilsport                               19181 13 N         
 congeniality                             19182 30 N         
 slouches                                 19183 17 pV        
 depicting                                19184 216 NV        
 themes                                   19185 552 pV        
 sequences                                19186 236 pV        
 tab                                      19187 378 N         
 weasel                                   19188 648 N         
 organizers                               19189 209 p         
 circuitry                                19190 160 N         
 darlene                                  19191 111 N         
 consoles                                 19192 77 pV        
 copyright                                19193 1188 NV        
 bond                                     19194 2708 NV        
 podium                                   19195 600 N         
 stylized                                 19196 157 VA        
 taximeter                                19197 5 N         
 pulsed                                   19198 660 V         
 warp                                     19199 295 NV        
 contemporary                             19200 1235 NA        
 alternating                              19201 375 VA        
 disorganized                             19202 227 VA        
 titles                                   19203 975 pV        
 fourteenth                               19204 453 NA        
 kansas                                   19205 1012 N         
 dennys                                   19206 134 D         
 curbside                                 19207 28 N         
 subscription                             19208 147 N         
 chairman                                 19209 1275 NV        
 appropriating                            19210 42 V         
 arcades                                  19211 51 p         
 pod                                      19212 425 NV        
 valiant                                  19213 326 A         
 finisher                                 19214 10 N         
 interviews                               19215 1685 pV        
 daphne                                   19216 1464 N         
 tendency                                 19217 1973 N         
 overeat                                  19218 36 V         
 sheeting                                 19219 122 NV        
 panoramic                                19220 83 A         
 squads                                   19221 450 p         
 interchange                              19222 77 NV        
 southwestern                             19223 125 NA        
 sarasota                                 19224 36 N         
 naples                                   19225 241 N         
 nightlife                                19226 62 N         
 causeway                                 19227 225 NV        
 buds                                     19228 587 pV        
 vacancy                                  19229 180 N         
 facsimile                                19230 72 NV        
 enlargements                             19231 19 p         
 peripheral                               19232 408 NA        
 unshaved                                 19233 20 A         
 murray                                   19234 1231 N         
 coupons                                  19235 199 p         
 enlargement                              19236 67 N         
 bookings                                 19237 74 p         
 manatee                                  19238 17 N         
 currently                                19239 1781 v         
 evasion                                  19240 247 N         
 complimenting                            19241 75 V         
 pharmacy                                 19242 247 N         
 pelican                                  19243 121 N         
 institutional                            19244 360 A         
 downcast                                 19245 283 NA        
 inspections                              19246 134 p         
 november                                 19247 1428 N         
 nebraska                                 19248 378 N         
 elaborated                               19249 171 VA        
 oleander                                 19250 47 N         
 roiling                                  19251 434 VA        
 propane                                  19252 144 N         
 caption                                  19253 242 NV        
 miamis                                   19254 11 p         
 vincent                                  19255 758 N         
 murrays                                  19256 183 p         
 lacquer                                  19257 143 NV        
 cubicle                                  19258 379 N         
 guppy                                    19259 157 N         
 stingray                                 19260 39 N         
 piranha                                  19261 27 N         
 scurry                                   19262 227 NV        
 clog                                     19263 103 NV        
 squinty                                  19264 101 A         
 fumigation                               19265 15 N         
 sites                                    19266 1323 pVV       
 preferably                               19267 374 v         
 exterminating                            19268 44 V         
 landscaping                              19269 82 NV        
 fiasco                                   19270 218 N         
 viper                                    19271 265 N         
 prosecutor                               19272 678 N         
 tucker                                   19273 1134 NV        
 promoter                                 19274 171 N         
 commercials                              19275 341 p         
 sears                                    19276 217 V         
 extortionist                             19277 28 N         
 tuckers                                  19278 81 pV        
 jessica                                  19279 2587 N         
 rooster                                  19280 262 N         
 thickening                               19281 272 NVA       
 blower                                   19282 58 N         
 jessicas                                 19283 244 D         
 buchanan                                 19284 181 N         
 flyers                                   19285 301 p         
 impossibly                               19286 711 v         
 scaffold                                 19287 282 NV        
 goad                                     19288 157 NV        
 sally                                    19289 2064 N         
 cartwheels                               19290 77 pV        
 barriers                                 19291 861 p         
 titans                                   19292 432 p         
 headlining                               19293 22 V         
 piston                                   19294 128 N         
 fairground                               19295 55 N         
 leaflet                                  19296 89 N         
 zeros                                    19297 130 pV        
 leaflets                                 19298 121 p         
 improvising                              19299 97 V         
 evict                                    19300 54 V         
 walt                                     19301 496 N         
 hubcap                                   19302 35 N         
 accelerate                               19303 365 V         
 corporations                             19304 810 p         
 coverall                                 19305 67 N         
 whoosh                                   19306 369 NV        
 bonehead                                 19307 23 N         
 mercury                                  19308 846 N         
 sidecar                                  19309 37 N         
 wristband                                19310 32 N         
 tens                                     19311 1086 p         
 disgruntled                              19312 256 VA        
 planets                                  19313 2800 p         
 rotation                                 19314 587 N         
 clarence                                 19315 587 N         
 einstein                                 19316 1625 N         
 equation                                 19317 930 N         
 equals                                   19318 563 pV        
 hemingway                                19319 335 N         
 literary                                 19320 1939 A         
 indianapolis                             19321 301 N         
 emcee                                    19322 36 NV        
 sift                                     19323 199 V         
 novels                                   19324 1305 p         
 civilized                                19325 1434 VA        
 syndicated                               19326 46 V         
 recessed                                 19327 198 VA        
 pinstripe                                19328 53 N         
 pushy                                    19329 157 A         
 twosome                                  19330 34 N         
 intimidated                              19331 551 VA        
 outlets                                  19332 225 p         
 clutter                                  19333 485 NV        
 extravaganza                             19334 50 N         
 mayonnaise                               19335 186 N         
 greenroom                                19336 27 N         
 asphyxiate                               19337 13 V         
 breasted                                 19338 160 VA        
 stepladder                               19339 101 N         
 freeway                                  19340 498 N         
 poodle                                   19341 163 N         
 antennae                                 19342 227 p         
 cosmic                                   19343 1300 A         
 futuristic                               19344 74 A         
 spacecraft                               19345 481 N         
 trig                                     19346 85 NA        
 galactic                                 19347 511 A         
 emit                                     19348 212 V         
 premiere                                 19349 159 NVA       
 freaks                                   19350 418 pV        
 bootleg                                  19351 60 NVA       
 linda                                    19352 1813 N         
 porcupines                               19353 29 N         
 porcupine                                19354 78 N         
 interconnected                           19355 169 VA        
 misinterpreted                           19356 157 V         
 paperbacks                               19357 85 p         
 changeling                               19358 96 N         
 distrustful                              19359 120 A         
 cardigan                                 19360 164 N         
 tyrannosaurus                            19361 33 N         
 frivolous                                19362 346 A         
 unreleased                               19363 18 A         
 bootleggers                              19364 59 p         
 remake                                   19365 180 NV        
 existing                                 19366 1852 VA        
 assumptions                              19367 1237 p         
 dressers                                 19368 84 p         
 lindas                                   19369 202 D         
 empires                                  19370 523 p         
 godlike                                  19371 129 A         
 warring                                  19372 261 VA        
 grievances                               19373 265 p         
 verges                                   19374 36 pV        
 libel                                    19375 138 NV        
 loudspeakers                             19376 128 p         
 nonstop                                  19377 403 NAv       
 conventions                              19378 897 p         
 pasty                                    19379 181 NA        
 omaha                                    19380 321 N         
 damper                                   19381 94 NA        
 mindless                                 19382 671 A         
 dialogue                                 19383 1274 N         
 tribesman                                19384 77 N         
 martians                                 19385 304 p         
 projectionist                            19386 37 N         
 remade                                   19387 245 V         
 semester                                 19388 652 N         
 december                                 19389 1118 N         
 readjust                                 19390 86 V         
 clowning                                 19391 75 NV        
 cannonball                               19392 192 N         
 sooty                                    19393 175 A         
 justine                                  19394 250 N         
 rosen                                    19395 340 N         
 stilt                                    19396 44 N         
 unhook                                   19397 65 V         
 admissions                               19398 292 p         
 greenest                                 19399 22 A         
 dustpan                                  19400 59 N         
 trashcan                                 19401 155 N         
 subtracting                              19402 51 V         
 february                                 19403 960 N         
 flips                                    19404 288 pV        
 shard                                    19405 577 N         
 tidbit                                   19406 102 N         
 intermediary                             19407 150 N         
 abbreviations                            19408 71 p         
 breathtaking                             19409 399 A         
 trustees                                 19410 222 p         
 dedicated                                19411 1501 VA        
 diagnose                                 19412 123 V         
 horsepower                               19413 81 N         
 deathblow                                19414 25 N         
 diagrams                                 19415 365 pV        
 katies                                   19416 191 D         
 katie                                    19417 2127 N         
 hydraulic                                19418 220 A         
 fiber                                    19419 533 N         
 marvin                                   19420 443 N         
 skylights                                19421 109 p         
 demo                                     19422 131 NV        
 horizontal                               19423 757 NA        
 paraded                                  19424 190 V         
 coordination                             19425 395 N         
 shuts                                    19426 338 V         
 lubricated                               19427 56 VA        
 deviated                                 19428 59 V         
 applicant                                19429 156 N         
 marketplace                              19430 572 N         
 malfunction                              19431 195 NV        
 rusk                                     19432 345 N         
 fantasies                                19433 853 pV        
 zebra                                    19434 189 N         
 accordion                                19435 227 N         
 porous                                   19436 136 A         
 lightbulb                                19437 267 N         
 additive                                 19438 29 NA        
 designing                                19439 376 NVA       
 consultants                              19440 179 p         
 backer                                   19441 44 NA        
 mayhem                                   19442 433 N         
 responsive                               19443 264 A         
 malfunctioning                           19444 108 VA        
 quarterly                                19445 143 NAv       
 straightaway                             19446 216 NAv       
 utility                                  19447 924 NA        
 relaying                                 19448 91 V         
 detonate                                 19449 149 V         
 excluded                                 19450 581 V         
 skateboarder                             19451 17 N         
 mastering                                19452 253 NV        
 plywood                                  19453 350 N         
 methodical                               19454 309 A         
 skateboard                               19455 125 NV        
 avoids                                   19456 169 V         
 breakable                                19457 59 NA        
 composite                                19458 189 NA        
 alpine                                   19459 195 A         
 lubricant                                19460 53 N         
 silicone                                 19461 61 N         
 petroleum                                19462 223 N         
 decompose                                19463 60 V         
 gutsy                                    19464 54 A         
 pulsing                                  19465 847 NV        
 rhythms                                  19466 378 p         
 huddling                                 19467 186 V         
 tracker                                  19468 316 N         
 parallels                                19469 189 pV        
 pinging                                  19470 83 V         
 marlborough                              19471 99 N         
 chancy                                   19472 75 A         
 underpass                                19473 31 N         
 periodicals                              19474 104 p         
 unsettling                               19475 700 V         
 climaxed                                 19476 42 V         
 handstand                                19477 26 N         
 boos                                     19478 83 pV        
 jeers                                    19479 88 pV        
 lenient                                  19480 141 A         
 duo                                      19481 140 N         
 wombat                                   19482 93 N         
 measurement                              19483 649 N         
 pneumatic                                19484 78 A         
 scoreboard                               19485 59 N         
 gripe                                    19486 49 NV        
 mannequin                                19487 172 N         
 montgomery                               19488 575 N         
 glows                                    19489 250 pV        
 fairs                                    19490 223 pV        
 winston                                  19491 1501 N         
 chooses                                  19492 697 V         
 sprayer                                  19493 32 N         
 salesroom                                19494 3 N         
 produces                                 19495 865 pV        
 overstock                                19496 5 V         
 fulfillment                              19497 419 N         
 warehousing                              19498 12 NV        
 subscriber                               19499 33 N         
 inferior                                 19500 870 NA        
 automated                                19501 186 VA        
 staircases                               19502 201 p         
 porches                                  19503 191 p         
 crosswalk                                19504 57 N         
 angelos                                  19505 50 D         
 pizzeria                                 19506 48 N         
 mushrooms                                19507 576 pV        
 angelo                                   19508 299 N         
 principally                              19509 267 v         
 fabrics                                  19510 179 p         
 sharpened                                19511 732 VA        
 vigilante                                19512 100 N         
 whitney                                  19513 355 N         
 brightness                               19514 964 N         
 logically                                19515 844 v         
 oops                                     19516 142 !         
 reorganization                           19517 99 N         
 eliminating                              19518 401 V         
 sidestep                                 19519 112 NV        
 shoddy                                   19520 145 NA        
 floodlight                               19521 46 NV        
 shortages                                19522 244 p         
 cram                                     19523 163 V         
 synthetics                               19524 21 p         
 outermost                                19525 148 A         
 wallys                                   19526 95 p         
 wally                                    19527 1134 N         
 tightest                                 19528 45 A         
 marx                                     19529 343 N         
 expand                                   19530 1197 V         
 qualification                            19531 208 N         
 mentality                                19532 375 N         
 retailer                                 19533 37 N         
 placement                                19534 311 N         
 decathlon                                19535 20 N         
 sean                                     19536 1096 N         
 happier                                  19537 1988 A         
 bummer                                   19538 65 N         
 gymnastics                               19539 159 N         
 chlorine                                 19540 202 N         
 lyle                                     19541 216 N         
 neighborhoods                            19542 649 p         
 gymnastic                                19543 31 A         
 gymnast                                  19544 78 N         
 gymnasts                                 19545 32 p         
 contortion                               19546 27 N         
 springboard                              19547 77 N         
 jukebox                                  19548 176 N         
 storyteller                              19549 231 N         
 blarney                                  19550 27 NV        
 hurdles                                  19551 150 NV        
 discus                                   19552 36 N         
 javelin                                  19553 228 N         
 swedish                                  19554 368 NA        
 norway                                   19555 325 N         
 freestyle                                19556 36 N         
 bodybuilding                             19557 19 N         
 charles                                  19558 5906 N         
 knuckle                                  19559 406 NV        
 nigerian                                 19560 58 NA        
 climbs                                   19561 388 pV        
 partys                                   19562 317 pV        
 awkwardness                              19563 330 N         
 kitchenette                              19564 132 N         
 viable                                   19565 471 A         
 vulnerable                               19566 2744 A         
 hurdle                                   19567 203 NV        
 vase                                     19568 789 N         
 flops                                    19569 276 pV        
 spa                                      19570 242 N         
 ambidextrous                             19571 34 A         
 whitewash                                19572 108 NV        
 kidneys                                  19573 392 p         
 confesses                                19574 105 V         
 coincidental                             19575 757 A         
 insufficient                             19576 549 A         
 funeral                                  19577 3509 N         
 sadder                                   19578 220 A         
 nonprofit                                19579 158 NA        
 potentiometer                            19580 2 N         
 potting                                  19581 30 V         
 rimless                                  19582 62 A         
 asteroid                                 19583 572 NA        
 paperweight                              19584 103 N         
 reprieve                                 19585 314 NV        
 cranium                                  19586 113 N         
 conga                                    19587 45 NV        
 crummy                                   19588 118 A         
 classy                                   19589 153 A         
 cues                                     19590 499 pV        
 veneer                                   19591 177 NV        
 hatchway                                 19592 80 N         
 components                               19593 865 p         
 turntable                                19594 131 N         
 audition                                 19595 483 NV        
 infiltrated                              19596 149 V         
 noxious                                  19597 248 A         
 breadth                                  19598 561 N         
 microfiche                               19599 45 N         
 enterprises                              19600 431 p         
 diversified                              19601 95 VA        
 riffraff                                 19602 58 N         
 knowledgeable                            19603 461 A         
 downs                                    19604 471 pV        
 earnings                                 19605 366 N         
 advertisers                              19606 138 p         
 generators                               19607 232 p         
 periodically                             19608 645 v         
 overriding                               19609 196 VA        
 losses                                   19610 1671 N         
 pulverize                                19611 39 V         
 probation                                19612 365 N         
 flak                                     19613 148 N         
 electrocute                              19614 31 V         
 bowels                                   19615 538 N         
 dawning                                  19616 340 NV        
 dodgers                                  19617 337 p         
 memorabilia                              19618 115 N         
 aaron                                    19619 2265 N         
 haggling                                 19620 106 NV        
 brooks                                   19621 597 NV        
 resolution                               19622 1589 N         
 pasteboard                               19623 59 N         
 cecil                                    19624 232 N         
 constricting                             19625 115 VA        
 braves                                   19626 284 pV        
 faze                                     19627 122 V         
 riddance                                 19628 119 N         
 reprint                                  19629 75 NV        
 newtons                                  19630 763 p         
 wrigley                                  19631 32 N         
 outdated                                 19632 187 A         
 compensation                             19633 626 N         
 blushing                                 19634 625 VA        
 butane                                   19635 49 N         
 windup                                   19636 52 NA        
 shopper                                  19637 97 N         
 defraud                                  19638 28 V         
 indicators                               19639 202 p         
 omelet                                   19640 147 N         
 slugger                                  19641 35 N         
 decaying                                 19642 445 V         
 armorys                                  19643 9 p         
 definitions                              19644 448 p         
 hexagon                                  19645 31 N         
 discretion                               19646 693 N         
 chambermaids                             19647 45 p         
 biosphere                                19648 90 N         
 recreate                                 19649 89 V         
 recreating                               19650 32 V         
 colonize                                 19651 83 V         
 continents                               19652 575 p         
 attaches                                 19653 122 pV        
 birthmark                                19654 150 N         
 simulator                                19655 90 N         
 realignment                              19656 29 N         
 heather                                  19657 796 N         
 gladiator                                19658 108 N         
 virtual                                  19659 1119 A         
 willis                                   19660 190 N         
 hovercraft                               19661 95 N         
 kathy                                    19662 775 N         
 interstellar                             19663 374 A         
 semicircular                             19664 81 A         
 dan                                      19665 2140 N         
 laurels                                  19666 281 N         
 labyrinth                                19667 591 N         
 sensor                                   19668 220 N         
 blender                                  19669 158 N         
 ow                                       19670 165 !         
 refund                                   19671 184 NV        
 demonstrates                             19672 244 V         
 commercially                             19673 140 v         
 zoned                                    19674 62 V         
 personalized                             19675 83 VA        
 dishwasher                               19676 317 N         
 dexter                                   19677 307 A         
 fulfill                                  19678 862 V         
 authorization                            19679 240 N         
 holograph                                19680 35 N         
 commuter                                 19681 102 N         
 hogging                                  19682 34 V         
 sierras                                  19683 64 p         
 jessie                                   19684 14071 N         
 mesa                                     19685 207 N         
 galoshes                                 19686 70 p         
 barnyards                                19687 3 p         
 dotty                                    19688 52 A         
 batten                                   19689 19 NV        
 middling                                 19690 122 NVAv      
 willowy                                  19691 99 A         
 lisa                                     19692 1625 N         
 retriever                                19693 154 N         
 whodunit                                 19694 14 N         
 manicurist                               19695 23 N         
 buckaroos                                19696 2 p         
 nicks                                    19697 592 pV        
 jellies                                  19698 29 pV        
 selections                               19699 191 p         
 carrots                                  19700 668 p         
 inaccurate                               19701 302 A         
 daddys                                   19702 604 p         
 watered                                  19703 554 VA        
 calming                                  19704 583 NV        
 calves                                   19705 530 pV        
 pueblo                                   19706 34 N         
 detest                                   19707 150 V         
 goody                                    19708 135 !N        
 winchester                               19709 160 N         
 rib                                      19710 791 NV        
 slapstick                                19711 43 NA        
 prejudice                                19712 883 NV        
 cricket                                  19713 406 NV        
 nesting                                  19714 204 V         
 stagecoach                               19715 110 N         
 varmint                                  19716 26 N         
 picky                                    19717 148 A         
 slyness                                  19718 29 N         
 participant                              19719 346 N         
 ashtrays                                 19720 128 p         
 yucca                                    19721 36 N         
 pods                                     19722 179 pV        
 shampoo                                  19723 392 NV        
 tasting                                  19724 705 NV        
 almighty                                 19725 687 NA        
 teaspoonful                              19726 24 N         
 blabbermouth                             19727 8 N         
 winder                                   19728 97 N         
 centipede                                19729 181 N         
 hinting                                  19730 230 V         
 attitudes                                19731 1222 p         
 dipper                                   19732 297 N         
 slopped                                  19733 105 VA        
 remorseful                               19734 101 A         
 awl                                      19735 201 N         
 crimp                                    19736 33 NV        
 calculator                               19737 168 N         
 ragging                                  19738 31 V         
 louise                                   19739 878 N         
 flashbulb                                19740 43 N         
 brigades                                 19741 168 pV        
 resonant                                 19742 270 A         
 martian                                  19743 666 NA        
 mutants                                  19744 118 p         
 factual                                  19745 355 A         
 credible                                 19746 508 A         
 glamorous                                19747 553 A         
 journeys                                 19748 602 pV        
 dreamlike                                19749 207 A         
 sleazy                                   19750 133 A         
 implies                                  19751 935 V         
 celebrities                              19752 440 p         
 congressional                            19753 845 A         
 vietnam                                  19754 1952 N         
 lectured                                 19755 262 V         
 commitment                               19756 2132 N         
 sandra                                   19757 485 N         
 frosty                                   19758 377 A         
 wacky                                    19759 132 A         
 hammock                                  19760 388 N         
 inertia                                  19761 315 N         
 lackey                                   19762 141 N         
 survivalist                              19763 60 N         
 impart                                   19764 266 V         
 believer                                 19765 712 N         
 tinderbox                                19766 47 N         
 irregularities                           19767 157 p         
 liz                                      19768 2596 N         
 nutcase                                  19769 63 N         
 bottleneck                               19770 135 NV        
 diehards                                 19771 19 p         
 trimmer                                  19772 55 N         
 skulk                                    19773 90 V         
 sassafras                                19774 19 N         
 homeowners                               19775 90 p         
 resettle                                 19776 25 V         
 unemployed                               19777 323 NA        
 jackie                                   19778 2629 N         
 liaison                                  19779 310 N         
 jackies                                  19780 212 p         
 irradiated                               19781 37 V         
 radioactive                              19782 474 A         
 grindstone                               19783 75 N         
 alphabetized                             19784 19 VA        
 resurface                                19785 45 V         
 disrepair                                19786 103 N         
 agenda                                   19787 1210 N         
 procedural                               19788 98 A         
 votes                                    19789 1356 pV        
 paranoid                                 19790 962 NA        
